School,SchoolCategory,District,Year,mathNLImet,mathLImet,SchoolType,LowIncome,ELL,SpecialEd,Enrollment,NLIGradRate,LIGradRate
ARLINGTON,Elem,TACOMA SD,2008,53.12,50,Public,71.93,,26.32,114,,
ARLINGTON ELEMENTARY,Elem,SPOKANE SD,2010,68.37,58.65,Public,67.85,7.72,17.04,311,,
ARLINGTON ELEMENTARY,Elem,SPOKANE SD,2009,69.88,53.64,Public,73.31,12.22,17.68,311,,
ARLINGTON ELEMENTARY,Elem,SPOKANE SD,2008,74.12,51.43,Public,72.35,11.9,18.33,311,,
ARLINGTON HIGH SCHOO,High,ARLINGTON SD,2008,52.49,36,Public,18.65,2.33,11.19,429,77.95,53.95
ARLINGTON HIGH SCHOO,High,ARLINGTON SD,2009,61.42,39.08,Public,21.09,,8.53,422,83.72,65.31
ARLINGTON HIGH SCHOOl,High,ARLINGTON SD,2010,50,32.67,Public,24.58,,11.22,419,86.35,88.51
ARLINGTON SPECIAL ED,Elem,ARLINGTON SD,2010,,,Alternative,0,0,,,,
ARMIN JAHR ELEMENTAR,Elem,BREMERTON SD,2010,62.12,48.24,Public,72.08,4.58,16.67,240,,
ARMIN JAHR ELEMENTAR,Elem,BREMERTON SD,2008,66.15,51.83,Public,72.34,4.68,18.3,235,,
ARMIN JAHR ELEMENTAR,Elem,BREMERTON SD,2009,72.73,62.82,Public,70.87,4.78,13.48,230,,
ARROWHEAD ELEMENTARY,Elem,NORTHSHORE SD,2008,74.75,27.78,Public,17.15,4.18,15.9,239,,
ARROWHEAD ELEMENTARY,Elem,NORTHSHORE SD,2009,77.17,40.91,Public,19.3,,18.42,228,,
ARROWHEAD ELEMENTARY,Elem,NORTHSHORE SD,2010,82.24,55.81,Public,23.88,,18.41,201,,
ARTHUR JACOBSEN ELEM,Elem,AUBURN SD,2010,75,58.51,Public,49.76,9.18,8.21,207,,
ARTHUR JACOBSEN ELEM,Elem,AUBURN SD,2008,77.19,62.5,Public,47.75,12.61,7.21,222,,
